feature,gini_importance,permutation_importance_mean,permutation_importance_std,rank,experiment,model,gain_importance,builtin_importance
Distance_to_MA20,0.028835421141280595,0.0008390700409123097,0.00041398845185137767,15,target_60d,RandomForest,,0.028835421141280595
Volume_ratio_5d_20d,0.02734650168594809,-0.0006332835199294451,0.00039608874996256076,16,target_60d,RandomForest,,0.02734650168594809
Return_5d,0.020082713400578246,0.00047771870942452387,0.00019864860408420578,17,target_60d,RandomForest,,0.020082713400578246
Volume_zscore_20d,0.014195529532287761,-0.00020456160121513635,0.00019274882240727533,18,target_60d,RandomForest,,0.014195529532287761
Return_1d,0.013204006819597677,-0.00012249197677551837,0.0003510629457107541,19,target_60d,RandomForest,,0.013204006819597677
CDI_3m_change,,-0.014134349200127416,0.001968933839983421,1,target_60d,XGBoost,0.12821664,0.12821663916110992
Rolling_vol_60d,,0.0024559641343491812,0.0006741122003824821,2,target_60d,XGBoost,0.07693022,0.0769302174448967
Distance_to_MA200,,-0.001404982973615254,0.0007306530903710062,3,target_60d,XGBoost,0.0747217,0.07472170144319534
Ibovespa_vol_20d,,-0.001516450672480968,0.0007319610541049445,4,target_60d,XGBoost,0.066815704,0.06681570410728455
Rank_volume,,-0.0006479825571425347,0.0008450250867473953,5,target_60d,XGBoost,0.06678603,0.066786028444767
Rank_volatility_20d,,-0.001533599549229553,0.0007565166366064952,6,target_60d,XGBoost,0.0642964,0.06429640203714371
Return_60d,,8.941914304611554e-05,0.0005251192613689705,7,target_60d,XGBoost,0.056449424,0.05644942447543144
Rank_momentum_60d,,0.0027928170704818677,0.0004959034390846657,8,target_60d,XGBoost,0.055126816,0.05512681603431702
Rolling_vol_20d,,0.006298537445797281,0.0006323671286776999,9,target_60d,XGBoost,0.05381055,0.05381055176258087
Drawdown_60d,,0.0026397020995124697,0.0006733772909267113,10,target_60d,XGBoost,0.05261565,0.05261564999818802
Ibovespa_return_20d,,-0.0014478551654866667,0.0007160659274788422,11,target_60d,XGBoost,0.05224633,0.0522463284432888
ATR_14,,0.004047134912663203,0.0009896138857297828,12,target_60d,XGBoost,0.045611423,0.045611422508955
Distance_to_MA50,,-0.0019145495970014138,0.0010206022390070828,13,target_60d,XGBoost,0.04212458,0.04212458059191704
Return_20d,,0.002798941669320637,0.0007212739077288926,14,target_60d,XGBoost,0.036350086,0.03635008633136749
Distance_to_MA20,,0.0033256571694553873,0.000742209403512907,15,target_60d,XGBoost,0.035559557,0.035559557378292084
Volume_ratio_5d_20d,,9.921850118815856e-05,0.0005094385207217088,16,target_60d,XGBoost,0.02817919,0.028179189190268517
Return_5d,,-0.0006773806315686582,0.0005999619009317949,17,target_60d,XGBoost,0.026905948,0.026905948296189308
Volume_zscore_20d,,8.206962443957911e-05,0.00034420245473922343,18,target_60d,XGBoost,0.019220313,0.01922031305730343
Return_1d,,-0.0009529875793135689,0.0005320665708931147,19,target_60d,XGBoost,0.01803345,0.018033450469374657
CDI_3m_change,0.1378362503165323,-0.01795117804226378,0.0012954822098140363,1,target_20d_median,RandomForest,,0.1378362503165323
Ibovespa_vol_20d,0.08236958455152743,-0.0007675491863006978,0.0012477090311547056,2,target_20d_median,RandomForest,,0.08236958455152743
Rolling_vol_60d,0.07048874000532186,-0.0055052222492105955,0.0006578394773360959,3,target_20d_median,RandomForest,,0.07048874000532186
Distance_to_MA200,0.06944515879809343,-0.0008379888268156499,0.0005655080707026994,4,target_20d_median,RandomForest,,0.06944515879809343
Rank_volume,0.057265097306609176,-0.0005477289288316756,0.0007716935444097459,5,target_20d_median,RandomForest,,0.057265097306609176
Ibovespa_return_20d,0.05692744445929789,-0.0007784794753461277,0.0006532585767045408,6,target_20d_median,RandomForest,,0.05692744445929789
Return_60d,0.05494839407843265,0.00121447656060239,0.00047857157348477406,7,target_20d_median,RandomForest,,0.05494839407843265
Rank_volatility_20d,0.054875792717277064,0.0022127762934175286,0.0005598144164132249,8,target_20d_median,RandomForest,,0.054875792717277064
Rank_momentum_60d,0.05441664221058356,-5.829487490889851e-05,0.000576813721462132,9,target_20d_median,RandomForest,,0.05441664221058356
Rolling_vol_20d,0.05280688696827885,0.004095214962351229,0.0008105537029576034,10,target_20d_median,RandomForest,,0.05280688696827885
ATR_14,0.04756455958485167,0.0047073111488948275,0.0005784581308429511,11,target_20d_median,RandomForest,,0.04756455958485167
Distance_to_MA50,0.04299223191666864,-0.0014865193101773143,0.0005934355513463311,12,target_20d_median,RandomForest,,0.04299223191666864
Drawdown_60d,0.04039525136907322,-0.0005125091085742106,0.0006193068387681897,13,target_20d_median,RandomForest,,0.04039525136907322
Return_20d,0.03906144702264867,0.00015059509351468824,0.0006751266352334504,14,target_20d_median,RandomForest,,0.03906144702264867
Distance_to_MA20,0.035449170403504045,0.0005720184600437217,0.0006987083248345661,15,target_20d_median,RandomForest,,0.035449170403504045
Volume_ratio_5d_20d,0.03450538041834858,0.00042263784308962937,0.00039599385951136716,16,target_20d_median,RandomForest,,0.03450538041834858
Return_5d,0.02761439757894644,0.0001712411950449355,0.0005473086825954968,17,target_20d_median,RandomForest,,0.02761439757894644
Volume_zscore_20d,0.020643155460953837,0.0003024046635899891,0.00023955992691198036,18,target_20d_median,RandomForest,,0.020643155460953837
Return_1d,0.020394414833050722,-0.0007274714598008269,0.00020047693861031574,19,target_20d_median,RandomForest,,0.020394414833050722
CDI_3m_change,,-0.01906485304833617,0.0011323429326275125,1,target_20d_median,XGBoost,0.10701647,0.10701646655797958
Ibovespa_vol_20d,,0.002487247996113656,0.0011219923153071602,2,target_20d_median,XGBoost,0.077966146,0.07796614617109299
Rolling_vol_60d,,-0.003490405635171251,0.0010408453826581524,3,target_20d_median,XGBoost,0.064545766,0.06454576551914215
Ibovespa_return_20d,,-0.0018727228564488884,0.0006204965059219206,4,target_20d_median,XGBoost,0.063687705,0.06368770450353622
Distance_to_MA200,,0.001168326451299473,0.0007766727157997292,5,target_20d_median,XGBoost,0.06115095,0.06115094944834709
Rank_volatility_20d,,-0.0008489191158610853,0.0005153861346317098,6,target_20d_median,XGBoost,0.056665916,0.05666591599583626
Rank_momentum_60d,,0.0009290745688608105,0.0008074625308228681,7,target_20d_median,XGBoost,0.056516547,0.05651654675602913
Return_60d,,0.001478017974253082,0.0005271178053044608,8,target_20d_median,XGBoost,0.056407675,0.05640767514705658
Rank_volume,,0.0003024046635899724,0.00101420718705207,9,target_20d_median,XGBoost,0.055009525,0.05500952526926994
Rolling_vol_20d,,0.0019808112703424696,0.0008163134715269857,10,target_20d_median,XGBoost,0.053885285,0.053885284811258316
Drawdown_60d,,-0.003673791595822218,0.0007832243988768688,11,target_20d_median,XGBoost,0.05250062,0.05250062048435211
Distance_to_MA50,,0.0005161525382559928,0.0006179108270711316,12,target_20d_median,XGBoost,0.049429223,0.04942922294139862
ATR_14,,0.0023536555744474,0.0007018119481856397,13,target_20d_median,XGBoost,0.046766467,0.04676646739244461
Return_20d,,0.0002720427495749189,0.0007446870803618943,14,target_20d_median,XGBoost,0.041648272,0.041648272424936295
Distance_to_MA20,,-0.0020123876609181523,0.00038741802283216546,15,target_20d_median,XGBoost,0.040634662,0.04063466191291809
Volume_ratio_5d_20d,,-0.0006157396162254303,0.0004670305893201849,16,target_20d_median,XGBoost,0.035293173,0.03529317304491997
Return_5d,,-0.0008829244595579433,0.0004696131331206646,17,target_20d_median,XGBoost,0.033373836,0.03337383642792702
Volume_zscore_20d,,-0.0002805440854991625,0.00045575892813475114,18,target_20d_median,XGBoost,0.024332795,0.024332795292139053
Return_1d,,-0.00014087928102988757,0.0005152644920220441,19,target_20d_median,XGBoost,0.02316898,0.023168979212641716
